# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509211e-26       4.634785000235e-09       2.157256292786e+22       1.750373107763e+04       1.750373107763e-10       1.750373107763e+18       2.676317464551e-09       2.751560535470e+44       2.490422367464e+33       6.681880830373e+33       4.198487453156e-08       1.902194177205e+44       4.653754712767e+44       4.653754712767e+44       1.551251570892e+44      -1.338578885200e+53       1.043770682527e-05       2.000000000000e+00 
       9.893085837570e+13       7.723792208879e-26       4.685716703534e-09       2.111374631009e+22       1.750373107763e+04       1.769289316298e-10       1.731659140287e+18       2.705240316130e-09       2.635761930281e+44       2.411394910978e+33       6.469847701589e+33       4.198487453156e-08       1.822140902098e+44       4.457902832468e+44       4.457902832468e+44       1.485967610793e+44      -1.268536174634e+53       1.066209623105e-05       1.957908951181e+00 
       9.787314738953e+13       7.891635675437e-26       4.736648406833e-09       2.066468804553e+22       1.750373107763e+04       1.788409951502e-10       1.713145251628e+18       2.734475734742e-09       2.524836674885e+44       2.334875197339e+33       6.264542925022e+33       4.198487453156e-08       1.745456645219e+44       4.270293320190e+44       4.270293320190e+44       1.423431106701e+44      -1.202158531071e+53       1.088648563681e-05       1.917553041712e+00 
       9.682674483178e+13       8.063126489128e-26       4.787580110133e-09       2.022518058839e+22       1.750373107763e+04       1.807737222607e-10       1.694829302658e+18       2.764027098859e-09       2.418579675807e+44       2.260783649468e+33       6.065752992888e+33       4.198487453156e-08       1.671999622440e+44       4.090579298329e+44       4.090579298329e+44       1.363526432749e+44      -1.139254175581e+53       1.111087504255e-05       1.878827146122e+00 
       9.579152979933e+13       8.238343922859e-26       4.838511813432e-09       1.979502080707e+22       1.750373107763e+04       1.827273362718e-10       1.676709177122e+18       2.793897823472e-09       2.316794470871e+44       2.189043215469e+33       5.873271172550e+33       4.198487453156e-08       1.601634016574e+44       3.918428487525e+44       3.918428487525e+44       1.306142829148e+44      -1.079641364290e+53       1.133526444829e-05       1.841634462244e+00 
       9.476738268169e+13       8.417368954628e-26       4.893081495538e-09       1.937400989030e+22       1.750373107763e+04       1.847020629073e-10       1.658782781391e+18       2.824091359714e-09       2.219292865953e+44       2.119579288499e+33       5.686897291523e+33       4.198487453156e-08       1.534229726263e+44       3.753522592294e+44       3.753522592294e+44       1.251174197405e+44      -1.023147863287e+53       1.155965385404e-05       1.805885704713e+00 
       9.375418514718e+13       8.600284325820e-26       4.944013198838e-09       1.896195325520e+22       1.750373107763e+04       1.866981303304e-10       1.641048044219e+18       2.854611196195e-09       2.125894587024e+44       2.052319629182e+33       5.506437529309e+33       4.198487453156e-08       1.469662125423e+44       3.595556712523e+44       3.595556712523e+44       1.198518904149e+44      -9.696104510008e+52       1.178404325978e-05       1.771498388655e+00 
       9.275182012925e+13       8.787174577864e-26       4.998582880944e-09       1.855866045739e+22       1.750373107763e+04       1.887157691702e-10       1.623502916503e+18       2.885460859288e-09       2.036426946831e+44       1.987194290481e+33       5.331704215825e+33       4.198487453156e-08       1.407811832824e+44       3.444238779729e+44       3.444238779729e+44       1.148079593218e+44      -9.188744466217e+52       1.200843266552e-05       1.738396194400e+00 
       9.176017181296e+13       8.978126095071e-26       5.053152563050e-09       1.816394510299e+22       1.750373107763e+04       1.907552125481e-10       1.606145371051e+18       2.916643913494e-09       1.950724525616e+44       1.924135544956e+33       5.162515636242e+33       4.198487453156e-08       1.348564491358e+44       3.299289017044e+44       3.299289017044e+44       1.099763005658e+44      -8.707932631943e+52       1.223282207125e-05       1.706508402067e+00 
       9.077912562158e+13       9.173227129537e-26       5.107722245157e-09       1.777762476241e+22       1.750373107763e+04       1.928166961047e-10       1.588973402342e+18       2.948163961708e-09       1.868628865258e+44       1.863077814332e+33       4.998695842005e+33       4.198487453156e-08       1.291810556602e+44       3.160439421929e+44       3.160439421929e+44       1.053479807287e+44      -8.252279840979e+52       1.245721147699e-05       1.675769387305e+00 
