# Matter power spectrum P(k) at redshift z=0
# for k=1.86049e-05 to 1.34094 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.860491322277e-05       9.487173915809e+00 
       4.435242834227e-05       2.195901441765e+01 
       7.043595846252e-05       3.432901838670e+01 
       9.713752349638e-05       4.682759762980e+01 
       1.247565322965e-04       5.963083131492e+01 
       1.536203003834e-04       7.290618510095e+01 
       1.840957073109e-04       8.682834416608e+01 
       2.166024588391e-04       1.015888820274e+02 
       2.516283433792e-04       1.174046506952e+02 
       2.897466899352e-04       1.345257721424e+02 
       3.316358423802e-04       1.532439911799e+02 
       3.780997016514e-04       1.739008389410e+02 
       4.300870329962e-04       1.968947054309e+02 
       4.887050579846e-04       2.226847499818e+02 
       5.552197821296e-04       2.517883490023e+02 
       6.310320498101e-04       2.847674186616e+02 
       7.176161983228e-04       3.221981780370e+02 
       8.164108725389e-04       3.646206425116e+02 
       9.286633728305e-04       4.124697800489e+02 
       1.055250992023e-03       4.660000049958e+02 
       1.196526971873e-03       5.252241200274e+02 
       1.352246688351e-03       5.898912324176e+02 
       1.521606614933e-03       6.595143428968e+02 
       1.703382818489e-03       7.334388330556e+02 
       1.896117557494e-03       8.109288061001e+02 
       2.098296011384e-03       8.912439964427e+02 
       2.308476507965e-03       9.736950700954e+02 
       2.525365580206e-03       1.057673662527e+03 
       2.747847576478e-03       1.142657478837e+03 
       2.974984506180e-03       1.228213133745e+03 
       3.206000034093e-03       1.313996035397e+03 
       3.440257198130e-03       1.399721493432e+03 
       3.677235388498e-03       1.485159719437e+03 
       3.916509293492e-03       1.570126229894e+03 
       4.157730825750e-03       1.654473324691e+03 
       4.400614154134e-03       1.738082994574e+03 
       4.644923562497e-03       1.820860482473e+03 
       4.890463715740e-03       1.902730544354e+03 
       5.137071901757e-03       1.983633463005e+03 
       5.384611861286e-03       2.063521939442e+03 
       5.632968878778e-03       2.142359228893e+03 
       5.882045868464e-03       2.220116554358e+03 
       6.131760243938e-03       2.296771931396e+03 
       6.382041404564e-03       2.372309596125e+03 
       6.632828708313e-03       2.446717741541e+03 
       6.884069829257e-03       2.519988752539e+03 
       7.135719420322e-03       2.592118004232e+03 
       7.387738019279e-03       2.663103930267e+03 
       7.640091149382e-03       2.732946688735e+03 
