# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.094057034254e-10       3.812738397890e-15       3.906999317563e-13       0.000000000000e+00       9.319398072420e-09       1.898941318319e-10      -1.831072542954e-12 
    3       1.079891954937e-10       5.240750391326e-15       4.217877805234e-13       0.000000000000e+00       5.856418601176e-09       1.489044797770e-10      -1.432940723655e-12 
    4       1.056288773382e-10       4.956575150487e-15       3.910061598341e-13       0.000000000000e+00       4.083149830270e-09       1.185219845506e-10      -1.001256179961e-12 
    5       1.037192944371e-10       3.647271967313e-15       3.345491581323e-13       0.000000000000e+00       3.047618955613e-09       9.646732756535e-11      -6.223153540306e-13 
    6       1.025326462773e-10       2.220455412516e-15       2.720581305169e-13       0.000000000000e+00       2.381377469274e-09       8.016191057820e-11      -3.236724961042e-13 
    7       1.019567675249e-10       1.218335626763e-15       2.153866335617e-13       0.000000000000e+00       1.921334306360e-09       6.778847396302e-11      -1.124962007154e-13 
    8       1.019190276986e-10       7.149119211327e-16       1.700718283821e-13       0.000000000000e+00       1.586684833404e-09       5.812451992940e-11       1.736572859499e-14 
    9       1.022541215805e-10       5.286843995900e-16       1.378086117003e-13       0.000000000000e+00       1.334289165103e-09       5.041767865368e-11       7.981863540111e-14 
   10       1.029073948137e-10       4.587203664721e-16       1.179145191358e-13       0.000000000000e+00       1.139166306032e-09       4.424479175151e-11       9.265528993769e-14 
   11       1.038344310250e-10       4.008025836737e-16       1.082840508775e-13       0.000000000000e+00       9.419913970664e-10       3.953598428380e-11       7.439308838139e-14 
   12       1.049035025705e-10       3.419086172751e-16       1.063381629050e-13       0.000000000000e+00       8.220726576980e-10       3.538464415391e-11       4.201026233684e-14 
   13       1.061273394388e-10       3.030491535977e-16       1.095647095352e-13       0.000000000000e+00       7.237876164470e-10       3.162631166659e-11       7.846178121828e-15 
   14       1.074801776176e-10       2.953521389889e-16       1.157736742536e-13       0.000000000000e+00       6.421333209480e-10       2.858257724227e-11      -1.912011819267e-14 
   15       1.089416423781e-10       3.115105940587e-16       1.233910910987e-13       0.000000000000e+00       5.735051566980e-10       2.600227967116e-11      -3.509719580259e-14 
   16       1.104669439050e-10       3.390553631718e-16       1.314488206693e-13       0.000000000000e+00       5.152265471122e-10       2.369250483679e-11      -3.999657420444e-14 
   17       1.120792510337e-10       3.731603479864e-16       1.394571132287e-13       0.000000000000e+00       4.652894804087e-10       2.168850818209e-11      -3.601549824590e-14 
   18       1.137477267735e-10       4.184562525843e-16       1.473375572659e-13       0.000000000000e+00       4.219870031258e-10       1.991649710682e-11      -2.701865525458e-14 
   19       1.154748799518e-10       4.802934292029e-16       1.552448977450e-13       0.000000000000e+00       3.846362570909e-10       1.836090502308e-11      -1.635060655025e-14 
   20       1.172335485986e-10       5.629964515979e-16       1.634009922662e-13       0.000000000000e+00       3.517669114604e-10       1.699703984840e-11      -7.512037186425e-15 
   21       1.190394234039e-10       6.657010533896e-16       1.719934693491e-13       0.000000000000e+00       3.228538711963e-10       1.579002171004e-11      -2.010156582630e-15 
   22       1.208921828638e-10       7.853741897634e-16       1.811466966915e-13       0.000000000000e+00       2.972023246399e-10       1.468519186984e-11      -4.454080135240e-16 
   23       1.227858412167e-10       9.216025128679e-16       1.907060768167e-13       0.000000000000e+00       2.744540111899e-10       1.368614143514e-11      -2.202827492846e-15 
   24       1.246967193085e-10       1.074638004251e-15       2.003749284100e-13       0.000000000000e+00       2.540757678811e-10       1.280095230151e-11      -5.969396708681e-15 
   25       1.266429409840e-10       1.244870442361e-15       2.098927738355e-13       0.000000000000e+00       2.358243629831e-10       1.201388116184e-11      -1.037487963475e-14 
   26       1.286381486650e-10       1.432553735872e-15       2.189719424568e-13       0.000000000000e+00       2.193665320327e-10       1.129451790953e-11      -1.394887907748e-14 
   27       1.306691562174e-10       1.637594997979e-15       2.273346051071e-13       0.000000000000e+00       2.045025485833e-10       1.063454915403e-11      -1.597037952435e-14 
   28       1.327076344531e-10       1.859973565555e-15       2.347219262322e-13       0.000000000000e+00       1.909737249627e-10       1.002803544260e-11      -1.606481539945e-14 
   29       1.347632411965e-10       2.101155110068e-15       2.410791516398e-13       0.000000000000e+00       1.787096332834e-10       9.473771250575e-12      -1.456314696524e-14 
   30       1.368482109702e-10       2.363293183176e-15       2.464372166546e-13       0.000000000000e+00       1.675771733146e-10       8.966778424254e-12      -1.217238644382e-14 
   31       1.389648446074e-10       2.648560127415e-15       2.508548394596e-13       0.000000000000e+00       1.573474821224e-10       8.497500828890e-12      -9.707438753436e-15 
   32       1.411152635853e-10       2.957928865748e-15       2.543842221304e-13       0.000000000000e+00       1.479669334047e-10       8.062324732179e-12      -7.606233905004e-15 
   33       1.432927129591e-10       3.291928099492e-15       2.570963771235e-13       0.000000000000e+00       1.393685006669e-10       7.656078442946e-12      -6.246101306094e-15 
   34       1.454837407471e-10       3.651039978451e-15       2.590584710980e-13       0.000000000000e+00       1.314309834153e-10       7.271931573725e-12      -5.941736537928e-15 
   35       1.476896107576e-10       4.036031341713e-15       2.602173047464e-13       0.000000000000e+00       1.241132797370e-10       6.912116202277e-12      -6.488181106079e-15 
   36       1.499107073787e-10       4.447729604872e-15       2.604742843031e-13       0.000000000000e+00       1.173561993535e-10       6.580557818992e-12      -7.448777394114e-15 
   37       1.521440775643e-10       4.886940411343e-15       2.597204562286e-13       0.000000000000e+00       1.110712244796e-10       6.279333866581e-12      -8.360278883311e-15 
   38       1.543971839655e-10       5.354473853228e-15       2.578558638694e-13       0.000000000000e+00       1.052418709408e-10       6.006746586091e-12      -9.053378218562e-15 
   39       1.566776749892e-10       5.851122967589e-15       2.547749352037e-13       0.000000000000e+00       9.984943743468e-11       5.758296199947e-12      -9.432242390033e-15 
   40       1.589890855697e-10       6.377654034416e-15       2.503602706726e-13       0.000000000000e+00       9.484218139247e-11       5.526936878174e-12      -9.387828643193e-15 
   41       1.613311122260e-10       6.934759191941e-15       2.445103355206e-13       0.000000000000e+00       9.015330070649e-11       5.305112369366e-12      -8.849156663256e-15 
   42       1.637017087352e-10       7.522900846952e-15       2.372352847387e-13       0.000000000000e+00       8.576884469943e-11       5.092147529346e-12      -7.958764393835e-15 
   43       1.660948585073e-10       8.142413032568e-15       2.285909979075e-13       0.000000000000e+00       8.167706133928e-11       4.888921544658e-12      -6.953272980750e-15 
   44       1.684994510060e-10       8.793537148993e-15       2.186544306031e-13       0.000000000000e+00       7.784802224541e-11       4.695789047372e-12      -6.119258409458e-15 
   45       1.709039663756e-10       9.476513474774e-15       2.074967451489e-13       0.000000000000e+00       7.424429007661e-11       4.512719089477e-12      -5.719839544700e-15 
   46       1.733132162176e-10       1.019190065146e-14       1.950903833266e-13       0.000000000000e+00       7.086013233731e-11       4.339876791016e-12      -5.741418840790e-15 
   47       1.757358736720e-10       1.094034281435e-14       1.813761902937e-13       0.000000000000e+00       6.769157042078e-11       4.177132439520e-12      -6.076172918380e-15 
   48       1.781796585116e-10       1.172248147415e-14       1.662885951673e-13       0.000000000000e+00       6.472455410574e-11       4.023851663665e-12      -6.590349676977e-15 
   49       1.806512002979e-10       1.253895585760e-14       1.497551595723e-13       0.000000000000e+00       6.193421271893e-11       3.878857374497e-12      -7.122780512644e-15 
   50       1.831551946507e-10       1.339033049151e-14       1.317089840763e-13       0.000000000000e+00       5.929233840587e-11       3.740819543129e-12      -7.522369965404e-15 
   51       1.856919195386e-10       1.427685399147e-14       1.121309449241e-13       0.000000000000e+00       5.679396789277e-11       3.609637559058e-12      -7.776013003551e-15 
   52       1.882588082712e-10       1.519863538779e-14       9.101814162460e-14       0.000000000000e+00       5.443672163199e-11       3.485367310464e-12      -7.912827717270e-15 
   53       1.908509313896e-10       1.615570814956e-14       6.837219106489e-14       0.000000000000e+00       5.221284944866e-11       3.367808642684e-12      -7.968550821405e-15 
   54       1.934608265579e-10       1.714802710136e-14       4.419938113550e-14       0.000000000000e+00       5.010886909658e-11       3.256487432923e-12      -7.985884105141e-15 
   55       1.960811627619e-10       1.817552237683e-14       1.850322516500e-14       0.000000000000e+00       4.810967625178e-11       3.150813659991e-12      -8.005988317948e-15 
   56       1.987138976519e-10       1.923828403827e-14      -8.740392698629e-15       0.000000000000e+00       4.621289816329e-11       3.050642662654e-12      -8.039696636747e-15 
   57       2.013630971215e-10       2.033641791999e-14      -3.756426820427e-14       0.000000000000e+00       4.441747265960e-11       2.955821912347e-12      -8.089756839828e-15 
   58       2.040322419282e-10       2.146999176752e-14      -6.800295811996e-14       0.000000000000e+00       4.271930596359e-11       2.866016406593e-12      -8.159058837648e-15 
