#k 	 Pdata 	 err 	 Pmodel
2.565600e-02 3.377896e+04 1.522225e+03 3.372685e+04
3.547900e-02 2.698785e+04 1.030287e+03 2.686776e+04
4.537700e-02 2.091819e+04 7.361598e+02 2.127590e+04
5.530100e-02 1.802693e+04 5.810944e+02 1.791903e+04
6.525200e-02 1.577624e+04 4.950313e+02 1.577271e+04
7.522100e-02 1.408537e+04 3.898910e+02 1.370896e+04
8.520000e-02 1.136784e+04 3.404151e+02 1.141496e+04
9.518000e-02 9.384644e+03 3.073058e+02 9.329976e+03
1.051600e-01 7.366569e+03 2.580982e+02 7.805934e+03
1.151430e-01 6.501724e+03 2.373764e+02 6.839466e+03
1.251320e-01 6.379836e+03 2.237997e+02 6.185018e+03
1.351260e-01 5.900842e+03 2.029860e+02 5.569529e+03
1.451160e-01 5.383312e+03 1.911266e+02 4.892397e+03
1.551100e-01 4.007296e+03 1.673194e+02 4.233832e+03
1.651070e-01 3.600324e+03 1.682938e+02 3.689119e+03
1.750970e-01 3.273488e+03 1.492542e+02 3.292235e+03
1.850880e-01 3.030703e+03 1.444921e+02 2.992627e+03
1.950840e-01 2.696057e+03 1.405197e+02 2.734062e+03
2.050820e-01 2.339878e+03 1.278774e+02 2.475145e+03
2.150790e-01 2.248518e+03 1.266091e+02 2.223238e+03
2.250760e-01 1.858516e+03 1.211344e+02 1.995646e+03
2.350710e-01 1.767395e+03 1.142154e+02 1.804047e+03
2.450660e-01 1.584210e+03 1.073271e+02 1.645918e+03
2.550650e-01 1.514540e+03 9.969795e+01 1.507260e+03
2.650630e-01 1.320398e+03 9.637241e+01 1.380233e+03
2.750610e-01 1.370953e+03 9.489949e+01 1.260588e+03
2.850600e-01 1.268207e+03 9.027712e+01 1.150689e+03
2.950550e-01 1.121050e+03 8.648068e+01 1.052175e+03
